Epidemic	Non-Predict	Predict	Node Denstity
1,890,000	1,749,450	372,289	3.539
53,630,000	27,882,200	23,249,700	17.693
132,880,000	57,715,500	37,970,150	35.386
262,760,000	108,950,950	48,646,700	70.771
411,950,000	165,603,700	78,817,900	106.157
538,520,000	220,714,100	119,142,450	141.543
609,750,000	237,320,250	122,445,150	176.929
757,670,000	288,130,600	152,316,600	212.314
870,740,000	343,224,650	179,980,800	247.7
1,019,220,000	395,283,050	206,293,400	283.086
1,226,220,000	462,906,650	249,086,800	318.471
1,242,340,000	468,907,100	253,833,750	353.857